,source_sentence,target_sentence
1009,that it is soley a matter of,that it is solely a matter of
1010,alternative forms ultimately improoving the situation for,alternative forms ultimately improving the situation for
1011,situations that would develope as a result,situations that would develop as a result
1012,that would gradual develope would undoubtedly effect,that would gradual develop would undoubtedly effect
1013,develope would undoubtedly effect the society in,develope would undoubtedly affect the society in
1014,greater Changes to improove these energy systems,greater Changes to improve these energy systems
1015,and in a neglegant manner The values,and in a negligent manner The values
1016,gears will not engauge unless the seat,gears will not engage unless the seat
1017,owner would be relingushed of the choice,owner would be relinquished of the choice
1018,his life in jepardy I therefore do,his life in jeopardy I therefore do
1019,such as the inforcement of laws in,such as the enforcement of laws in
1020,of time and convienience as well as,of time and convenience as well as
1021,be carried out succesfully The view that,be carried out successfully The view that
1022,longer periods would undoubtably give the scientist,longer periods would undoubtedly give the scientist
1023,as without the convienience of private transport,as without the convenience of private transport
1024,but would be forseen and so obvious,but would be foreseen and so obvious
1025,smaller more efficient housholds or alternatively larger,smaller more efficient households or alternatively larger
1026,be easy to forsee and indeed it,be easy to foresee and indeed it
1027,this was not succesful the changes already,this was not successful the changes already
1028,police state or totalitarionism There is just,police state or totalitarianism There is just
1029,signed such an aggreement This alternative implies,signed such an agreement This alternative implies
1030,measure is introduced Justifacation for punishing someone,measure is introduced Justification for punishing someone
1031,been said total totalitarionism and any government,been said total totalitarianism and any government
1032,the measure would loose many votes The,the measure would lose many votes The
1033,to wear seatbelts wheras they should aim,to wear seatbelts whereas they should aim
1034,is simply no (other direct) forseen direct pathway to,is simply no (other direct) foreseen direct pathway to
1035,can consult any relevent text in a,can consult any relevant text in a
1036,will study in preferance to others EQ,will study in preference to others EQ
1037,street as an inlargement of human knowledge,street as an enlargement of human knowledge
1038,the three to dissappear Of course there,the three to disappear Of course there
1039,roof At least polution would be reduced,roof At least pollution would be reduced
1040,substance similar to magerine EQ,substance similar to margarine EQ
1041,a group are invalueable and an individual,a group are invaluable and an individual
1042,known way of tackeling the problem Although,known way of tackling the problem Although
1043,first approach is esentially analytical Vast amounts,first approach is essentially analytical Vast amounts
1044,elementary particles The aquisistion of this theory,elementary particles The acquisition of this theory
1045,experimentally reproducing conditions beleived to be present,experimentally reproducing conditions believed to be present
1046,be present on primeaval earth he managed,be present on primaeval earth he managed
1047,of encouraging the useage of seat belts,of encouraging the usage of seat belts
1048,as a person neccessarily stuffed full of,as a person necessarily stuffed full of
1049,and indeed overwhelming ammount of knowledge is,and indeed overwhelming amount of knowledge is
1050,imagination and an ammount of freedom is,imagination and an amount of freedom is
1051,see the vast ammounts of coal burnt,see the vast amounts of coal burnt
1052,fuels that would dissappear would be the,fuels that would disappear would be the
1053,horizons would almost certaintly contract The whole,horizons would almost certainly contract The whole
1054,reality a small ammount of power from,reality a small amount of power from
1055,power would be availiable This power would,power would be available This power would
1056,a reduction of availiable power would be,a reduction of available power would be
1057,decrease in the ammount of power availiable,decrease in the amount of power availiable
1058,ammount of power availiable occurred the meaning,ammount of power available occurred the meaning
1059,playboy society would dissappear to be replaced,playboy society would disappear to be replaced
1060,a decrease in availiable power is a,a decrease in available power is a
1061,we had the benifits of plentifully availiable,we had the benefits of plentifully availiable
1062,benifits of plentifully availiable power EQ,benifits of plentifully available power EQ
1063,insensitive would practically ammount to coercion This,insensitive would practically amount to coercion This
1064,so but almost certaintly with reduced efficiency,so but almost certainly with reduced efficiency
1065,the choice of wether or not to,the choice of whether or not to
1066,become a legal neccessity The question is,become a legal necessity The question is
1067,required then a definate end product is,required then a definite end product is
1068,state are far to great at present,state are far too great at present
1069,of science should suport projects carried out,of science should support projects carried out
1070,energy is energy possesed by a body,energy is energy possessed by a body
1071,the body falls of the cliff or,the body falls off the cliff or
1072,are given a sufficent shove by the,are given a sufficient shove by the
1073,liquid are given sufficent kicks by the,liquid are given sufficient kicks by the
1074,belts is desirable undoubtably It is not,belts is desirable undoubtedly It is not
1075,force with yet annother difficult and unpleasant,force with yet another difficult and unpleasant
1076,even endorse their license If on the,even endorse their licence If on the
1077,adopted by a goverment Goverments seem to,adopted by a government Goverments seem to
1078,by a goverment Goverments seem to find,by a goverment Governments seem to find
1079,desire for intellectual fulfillment as the only,desire for intellectual fulfilment as the only
1080,the possibility of anomalus results or errors,the possibility of anomalous results or errors
1081,better termed as nonproffessional life since public,better termed as nonprofessional life since public
1082,to have a definate purpose to direct,to have a definite purpose to direct
1083,there is no definate path for applied,there is no definite path for applied
1084,there is a definate aim in that,there is a definite aim in that
1085,it is not suprising that the so,it is not surprising that the so
1086,SQ The exaustion of fossil fuels,SQ The exhaustion of fossil fuels
1087,extent on how sucessful the development of,extent on how successful the development of
1088,result even if goverments do not introduce,result even if governments do not introduce
1089,development of natural resorces will no longer,development of natural resources will no longer
1090,principles would remain basicly unchanged The major,principles would remain basically unchanged The major
1091,and though doubtless strenuous efforts would be,and though doubtless strenous efforts would be
1092,the world wars Luckly this would require,the world wars Luckily this would require
1093,of thing in minature was observable in,of thing in miniature was observable in
1094,it is not suprising that if there,it is not surprising that if there
1095,can no longer acquire all this knowledge,can no longer aquire all this knowledge
1096,the discovery of penecillin and the steam,the discovery of penicillin and the steam
1097,That would be disasterous A government such,That would be disastrous A government such
1098,Gravity is the tendancy for the mass,Gravity is the tendency for the mass
1099,their tissues is irreversable and this is,their tissues is irreversible and this is
1100,other bits of paraphenalia There are also,other bits of paraphernalia There are also
1101,something No thats to racy for Gerald,something No thats too racy for Gerald
1102,Like when he dissappears that shows streangth,Like when he disappears that shows streangth
1103,dissappears that shows streangth No not at,dissappears that shows strength No not at
1104,the house cross referance public house He,the house cross reference public house He
1105,available will become to great to learn,available will become too great to learn
1106,of analysis (and pendantry ) (A) (Scientific thought requires) a scientist,of analysis (and pedantry ) (A) (Scientific thought requires) a scientist
1107,he is a pendantic empiricist Imagination is,he is a pedantic empiricist Imagination is
1108,semantic problem namely wheras the question how,semantic problem namely whereas the question how
1109,electromagnetic radiation is emmitted by the atoms,electromagnetic radiation is emitted by the atoms
1110,had not been their life would either,had not been there life would either
1111,but as an excercise of the mind,but as an exercise of the mind
1112,science is not allways advanced by genius,science is not always advanced by genius
1113,progress is only worthwile if it is,progress is only worthwhile if it is
1114,of Cheops covers fourty acres of ground,of Cheops covers forty acres of ground
1115,you have probably allready seen yourselves Secondly,you have probably already seen yourselves Secondly
1116,The footprint is definately not modern If,The footprint is definitely not modern If
1117,To combat this eventuallity the modern scientist,To combat this eventuality the modern scientist
1118,states that individual genii not teams are,states that individual genei not teams are
1119,can grasp the truely wonderous concepts and,can grasp the truly wonderous concepts and
1120,grasp the truely wonderous concepts and happenings,grasp the truely wondrous concepts and happenings
1121,If a man truely loves something an,If a man truly loves something an
1122,close circle of interlectual friends but he,close circle of intellectual friends but he
1123,let the common plebian in the street,let the common plebeian in the street
1124,the man who truely enjoys his subjects,the man who truly enjoys his subjects
1125,only reason for persueing a particular branch,only reason for pursuing a particular branch
1126,lead to a deppreciation of the work,lead to a depreciation of the work
1127,when Art is persued merely for Arts,when Art is pursued merely for Arts
1128,need pages of explanotory notes and a,need pages of explanatory notes and a
1129,and all the truely great composers their,and all the truly great composers their
1130,soon as they allienate themselves from the,soon as they alienate themselves from the
1131,charged and have diss in the watery,charged and have disolved in the watery
1132,the heart are independant of nervous action,the heart are independent of nervous action
1133,by organs called endochrine glands These glands,by organs called endocrine glands These glands
1134,less control is controled by these hormones,less control is controlled by these hormones
1135,layer of light sensetive cells These cells,layer of light sensitive cells These cells
1136,or rather a truely Christian state which,or rather a truly Christian state which
1137,all the other truely needy members of,all the other truly needy members of
1138,those who are truely parasitic in nature,those who are truly parasitic in nature
1139,that nobody can critisise this service If,that nobody can criticise this service If
1140,nucleus (of) has been unwravelled The war years,nucleus (of) has been unravelled The war years
1141,levels of electrons orbiting the nucleus and,levels of electrons orbitting the nucleus and
1142,Possibly the best arguments against technological ways,Possibly the best arguements against technological ways
1143,were but the arguement is a strong,were but the argument is a strong
1144,observes will be (limited by) aff by the fact,observes will be (limited by) effected by the fact
1145,endeavour that in comparitive terms bearing in,endeavour that in comparative terms bearing in
1146,thought Erasmus was reknowned for the beauty,thought Erasmus was renowned for the beauty
1147,The men who lead the movement were,The men who led the movement were
1148,is becoming practically unemcompassable Eventually in order,is becoming practically unencompassable Eventually in order
1149,from individuals since contempory science requires a,from individuals since contemporary science requires a
1150,direct means to acheive (are visible) an objective are,direct means to achieve (are visible) an objective are
1151,sake with no forseeable (physical) financial reward The,sake with no foreseeable (physical) financial reward The
1152,end is being acheived One could cite,end is being achieved One could cite
1153,skills necessary to achi a specific end,skills necessary to acheive a specific end
1154,no merit in replaci him by a,no merit in replaceing him by a
1155,and kidneys are indispensible organs they are,and kidneys are indispensable organs they are
1156,applied science are eazily seen but pure,applied science are easily seen but pure
1157,the question very eazily becomes Which would,the question very easily becomes Which would
1158,we demand an eazy and accurate explanation,we demand an easy and accurate explanation
1159,explorer in the imaginitive and exciting adventure,explorer in the imaginative and exciting adventure
1160,there is a destinct aim to work,there is a distinct aim to work
1161,before this becomes feasi To cut down,before this becomes feasable To cut down
1162,ovens and floor polishes tend to consume,ovens and floor polishers tend to consume
1163,same crisis will reoccur but worse The,same crisis will recur but worse The
1164,to create a feasable system In Sweden,to create a feasible system In Sweden
1165,the brain In practise this just doesnt,the brain In practice this just doesnt
1166,his thoughts and seperate his thinking into,his thoughts and separate his thinking into
1167,time split into seperate (person) thinking groups learning,time split into separate (person) thinking groups learning
1168,always lead to embarassment and misunderstanding Moreover,always lead to embarrassment and misunderstanding Moreover
1169,family are an embarassment to read Certainly,family are an embarrassment to read Certainly
1170,the truth are exagerations The public does,the truth are exaggerations The public does
1171,also have a drammatic effect as people,also have a dramatic effect as people
1172,for society but their might be some,for society but there might be some
1173,The system of monitary incentive might work,The system of monetary incentive might work
1174,comprehensive policing to ensure that everyone wears,comprehensive policing to insure that everyone wears
1175,available certainly private vehicles and probably public,available certainly private vehicules and probably public
1176,of overlordship and surfdom the situation will,of overlordship and serfdom the situation will
1177,whole structure of burocracy (This) Finding a persons,whole structure of bureaucracy (This) Finding a persons
1178,exact in the forseeable future of his,exact in the foreseeable future of his
1179,far he said dissapointedly There must be,far he said disappointedly There must be
1180,reason for mans existense EQ,reason for mans existence EQ
1181,the modern paperback novellists Let us also,the modern paperback novelists Let us also
1182,of complete freedom Financers of science should,of complete freedom Financiers of science should
1183,wars have shown Fincancers of science should,wars have shown Financiers of science should
1184,a lot of leiusure time to be,a lot of leisure time to be
